Motivo,Fonte,Validação,Páginas
"Excluída pela tag ""noindex""",Site,Não foi iniciado,24
Erro soft 404,Site,Não foi iniciado,20
Página alternativa com tag canônica adequada,Site,Não foi iniciado,2
"Rastreada, mas não indexada no momento",Sistemas do Google,Não foi iniciado,22
